Site_Code,Jaw_Site_ID,Test_Diameter,Total_Jaw_Length,Urchin_ID,Days_free,Jaw_Growth_Increment
4E,246,88,14.8,246,358,0.16
4E,106,89,14.9,106,358,0.289
4E,143,98,14.9,143,358,0.06
4E,172,96,14.9,172,358,0.08
4E,8,94,15,8,358,0.108
4E,303,86,15,303,358,0.37
4E,1,92,15.1,1,358,0.137
4E,85,89,15.1,85,358,0.077
4E,90,86,15.1,90,358,0.091
4E,123,98,15.1,123,358,0.16
4E,228,100,15.1,228,358,0.047
4E,25,95,15.2,25,358,0.167
4E,140,87,15.2,140,358,0.093
4E,164,95,15.2,164,358,0.18
4E,12,94,15.3,12,358,0.113
4E,149,91,15.3,149,358,0.168
4E,162,97,15.3,162,358,0.132
4E,205,84,15.3,205,358,0.22
4E,19,98,15.4,19,358,0.11
4E,84,93,15.4,84,358,0.06
4E,130,87,15.4,130,358,0.168
4E,14,95,15.5,14,358,0.056
4E,109,101,15.5,109,358,0.05
4E,176,93,15.6,176,358,0.143
4E,190,90,15.6,190,358,0.088
4E,192,85,15.6,192,358,0.118
4E,94,95,15.7,94,358,0.17
4E,142,97,15.7,142,358,0.112
4E,110,97,15.8,110,358,0.097
4E,236,98,15.8,236,358,0.04
4E,336,90,15.8,336,358,0.1
4E,285,100,16.1,285,358,0.088
4E,93,100,16.2,93,358,0.13
4E,10,90,16.3,10,358,0.053
4E,82,87,16.3,82,358,0.111
4E,308,89,16.3,308,358,0.14
4E,263,109,16.6,263,358,0.116
4E,299,99,17.2,299,358,0.098
5E,5,56,9.5,2579,365,0.238
5E,255,73,11.9,2829,365,0.418
5E,124,66,12.2,2698,365,0.615
5E,329,77,12.6,2903,365,0.179
5E,257,81,12.8,2831,365,0.239
5E,78,84,13.1,2652,365,0.421
5E,82,80,13.5,2656,365,0.213
5E,109,74,13.6,2683,365,0.329
5E,13,84,13.7,2587,365,0.149
5E,142,81,13.7,2716,365,0.124
5E,33,82,13.8,2607,365,0.101
5E,80,82,13.9,2654,365,0.078
5E,106,83,13.9,2680,365,0.181
5E,284,91,13.9,2858,365,0.109
5E,240,84,14,2814,365,0.4
5E,74,94,14.1,2648,365,0.099
5E,31,88,14.2,2605,365,0.107
5E,62,88,14.4,2636,365,0.118
5E,280,87,14.4,2854,365,0.316
5E,36,91,14.5,2610,365,0.096
5E,110,83,14.5,2684,365,0.164
5E,121,82,14.5,2695,365,0.073
5E,143,86,14.5,2717,365,0.094
5E,267,89,14.5,2841,365,0.105
5E,24,85,14.6,2598,365,0.287
5E,34,82,14.6,2608,365,0.195
5E,93,84,14.6,2667,365,0.144
5E,120,97,14.6,2694,365,0.119
5E,171,84,14.6,2745,365,0.153
5E,179,83,14.6,2753,365,0.211
5E,253,72,14.6,2827,365,0.305
5E,289,87,14.6,2863,365,0.189
5E,85,89,14.7,2659,365,0.125
5E,105,85,14.7,2679,365,0.163
5E,154,81,14.7,2728,365,0.184
5E,183,91,14.7,2757,365,0.083
5E,21,91,14.8,2595,365,0.214
5E,203,92,14.8,2777,365,0.143
5E,229,90,14.8,2803,365,0.57
5E,81,88,14.9,2655,365,0.092
5E,97,82,14.9,2671,365,0.058
5E,138,87,14.9,2712,365,0.075
5E,168,93,14.9,2742,365,0.05
5E,292,83,14.9,2866,365,0.105
5E,86,91,15,2660,365,0.126
5E,89,89,15,2663,365,0.091
5E,180,96,15,2754,365,0.077
5E,193,87,15,2767,365,0.181
5E,245,97,15,2819,365,0.172
5E,276,89,15,2850,365,0.098
5E,296,89,15,2870,365,0.16
5E,64,93,15.1,2638,365,0.142
5E,113,94,15.1,2687,365,0.107
5E,141,90,15.1,2715,365,0.129
5E,216,87,15.1,2790,365,0.08
5E,236,88,15.1,2810,365,0.121
5E,302,92,15.1,2876,365,0.118
5E,66,82,15.2,2640,365,0.14
5E,72,91,15.2,2646,365,0.07
5E,84,82,15.2,2658,365,0.096
5E,186,97,15.2,2760,365,0.16
5E,252,91,15.2,2826,365,0.116
5E,50,92,15.3,2624,365,0.125
5E,53,90,15.3,2627,365,0.186
5E,96,85,15.3,2670,365,0.118
5E,102,97,15.3,2676,365,0.127
5E,286,89,15.3,2860,365,0.078
5E,323,85,15.3,2897,365,0.11
5E,65,96,15.4,2639,365,0.087
5E,112,95,15.4,2686,365,0.176
5E,135,89,15.4,2709,365,0.163
5E,151,87,15.4,2725,365,0.124
5E,287,89,15.4,2861,365,0.175
5E,23,85,15.5,2597,365,0.117
5E,37,97,15.5,2611,365,0.097
5E,60,97,15.5,2634,365,0.103
5E,68,92,15.5,2642,365,0.268
5E,70,89,15.5,2644,365,0.138
5E,129,89,15.5,2703,365,0.045
5E,197,89,15.5,2771,365,0.134
5E,249,87,15.5,2823,365,0.082
5E,251,92,15.5,2825,365,0.143
5E,258,94,15.5,2832,365,0.079
5E,10,97,15.6,2584,365,0.127
5E,107,98,15.6,2681,365,0.118
5E,172,94,15.6,2746,365,0.124
5E,184,94,15.6,2758,365,0.126
5E,198,92,15.6,2772,365,0.142
5E,220,87,15.6,2794,365,0.111
5E,103,85,15.7,2677,365,0.127
5E,128,86,15.7,2702,365,0.054
5E,202,93,15.7,2776,365,0.11
5E,265,94,15.7,2839,365,0.141
5E,272,87,15.7,2846,365,0.08
5E,304,85,15.7,2878,365,0.12
5E,310,98,15.7,2884,365,0.084
5E,32,86,15.8,2606,365,0.149
5E,47,86,15.8,2621,365,0.108
5E,246,93,15.8,2820,365,0.071
5E,243,98,15.9,2817,365,0.118
5E,291,84,15.9,2865,365,0.157
5E,11,105,16,2585,365,0.164
5E,181,89,16,2755,365,0.13
5E,281,92,16,2855,365,0.069
5E,305,94,16,2879,365,0.139
5E,38,99,16.1,2612,365,0.168
5E,174,93,16.1,2748,365,0.058
5E,234,82,16.1,2808,365,0.108
5E,264,83,16.1,2838,365,0.076
5E,40,99,16.2,2614,365,0.13
5E,61,95,16.2,2635,365,0.097
5E,164,93,16.2,2738,365,0.142
5E,178,95,16.2,2752,365,0.162
5E,188,100,16.2,2762,365,0.116
5E,190,93,16.3,2764,365,0.109
5E,111,91,16.4,2685,365,0.122
5E,233,90,16.4,2807,365,0.112
5E,235,104,16.4,2809,365,0.16
5E,299,91,16.4,2873,365,0.048
5E,44,100,16.5,2618,365,0.1
5E,261,98,16.5,2835,365,0.125
5E,297,97,16.5,2871,365,0.141
5E,79,97,16.6,2653,365,0.09
5E,114,96,16.6,2688,365,0.098
5E,269,99,16.6,2843,365,0.09
5E,147,96,16.7,2721,365,0.181
5E,187,91,16.7,2761,365,0.095
5E,212,102,16.7,2786,365,0.069
5E,312,98,16.7,2886,365,0.098
5E,71,100,16.8,2645,365,0.125
5E,219,96,16.8,2793,365,0.156
5E,231,91,16.8,2805,365,0.136
5E,182,101,16.9,2756,365,0.15
5E,159,101,17,2733,365,0.132
5E,167,103,17,2741,365,0.118
5E,200,99,17,2774,365,0.134
5E,69,97,17.2,2643,365,0.104
5E,271,94,17.3,2845,365,0.068
5E,295,93,17.3,2869,365,0.105
5E,207,98,17.4,2781,365,0.099
5E,211,99,17.4,2785,365,0.154
5E,303,98,17.4,2877,365,0.097
5E,162,98,17.5,2736,365,0.114
5E,301,91,17.6,2875,365,0.066
5E,195,101,18.1,2769,365,0.077
5W,20,66,11.6,369,367,0.477
5W,82,76,12.1,431,367,1.212
5W,55,78,12.3,404,367,0.607
5W,124,81,12.3,473,367,1.15
5W,143,74,12.4,492,367,0.736
5W,108,73,12.6,457,367,0.601
5W,122,81,12.7,471,367,1.164
5W,118,78,12.8,467,367,0.783
5W,193,81,12.8,542,367,0.853
5W,238,85,13,587,367,0.171
5W,132,87,13.3,481,367,0.394
5W,234,83,13.3,583,367,0.236
5W,160,84,13.6,509,367,1.006
5W,30,80,13.7,379,367,0.33
5W,130,85,13.7,479,367,0.135
5W,127,90,13.8,476,367,1.187
5W,38,78,14,387,367,0.403
5W,175,93,14.1,524,367,0.142
5W,229,100,14.2,578,367,0.388
5W,58,76,14.3,407,367,0.447
5W,266,93,14.3,615,367,0.545
5W,44,92,14.4,393,367,0.133
5W,50,86,14.5,399,367,0.277
5W,153,89,14.5,502,367,0.155
5W,76,96,14.6,425,367,0.164
5W,134,93,14.6,483,367,0.1
5W,77,88,14.7,426,367,0.386
5W,214,95,14.7,563,367,0.133
5W,75,90,14.8,424,367,0.194
5W,78,96,14.8,427,367,0.166
5W,107,92,14.8,456,367,0.118
5W,125,95,14.8,474,367,0.093
5W,147,85,14.8,496,367,0.053
5W,186,85,14.9,535,367,0.06
5W,163,94,15,512,367,0.144
5W,180,92,15,529,367,0.183
5W,206,86,15,555,367,0.46
5W,121,88,15.1,470,367,0.095
5W,201,95,15.1,550,367,0.156
5W,23,91,15.2,372,367,0.093
5W,57,90,15.2,406,367,0.153
5W,98,99,15.2,447,367,0.151
5W,202,96,15.2,551,367,0.106
5W,235,88,15.2,584,367,0.061
5W,149,99,15.3,498,367,0.119
5W,150,97,15.3,499,367,0.14
5W,94,103,15.4,443,367,0.154
5W,167,98,15.4,516,367,0.074
5W,188,96,15.4,537,367,0.169
5W,81,93,15.5,430,367,0.095
5W,97,99,15.5,446,367,0.157
5W,102,99,15.5,451,367,0.105
5W,217,102,15.5,566,367,0.096
5W,68,93,15.6,417,367,0.173
5W,80,98,15.6,429,367,0.153
5W,83,92,15.6,432,367,0.133
5W,93,104,15.6,442,367,0.138
5W,168,91,15.6,517,367,0.091
5W,224,104,15.6,573,367,0.305
5W,263,105,15.6,612,367,0.101
5W,45,100,15.7,394,367,0.1
5W,92,90,15.7,441,367,0.19
5W,159,101,15.7,508,367,0.08
5W,218,101,15.7,567,367,0.052
5W,36,96,15.8,385,367,0.089
5W,104,93,15.8,453,367,0.139
5W,114,94,15.8,463,367,0.195
5W,26,102,15.9,375,367,0.061
5W,46,102,15.9,395,367,0.153
5W,138,101,15.9,487,367,0.068
5W,140,99,15.9,489,367,0.241
5W,176,107,15.9,525,367,0.092
5W,232,102,15.9,581,367,0.085
5W,106,102,16,455,367,0.166
5W,194,98,16,543,367,0.049
5W,112,99,16.1,461,367,0.072
5W,183,107,16.1,532,367,0.139
5W,185,104,16.1,534,367,0.099
5W,29,98,16.2,378,367,0.059
5W,173,99,16.2,522,367,0.109
5W,196,102,16.2,545,367,0.152
5W,212,97,16.2,561,367,0.15
5W,43,96,16.3,392,367,0.15
5W,126,93,16.3,475,367,0.404
5W,142,100,16.3,491,367,0.064
5W,253,106,16.3,602,367,0.083
5W,22,100,16.4,371,367,0.168
5W,70,99,16.4,419,367,0.085
5W,71,100,16.4,420,367,0.076
5W,156,100,16.4,505,367,0.09
5W,222,102,16.4,571,367,0.051
5W,64,99,16.5,413,367,0.095
5W,67,108,16.5,416,367,0.079
5W,197,112,16.5,546,367,0.129
5W,198,106,16.5,547,367,0.166
5W,200,98,16.5,549,367,0.058
5W,21,101,16.6,370,367,0.804
5W,25,107,16.6,374,367,0.139
5W,157,93,16.6,506,367,0.082
5W,113,104,16.7,462,367,0.104
5W,216,100,16.7,565,367,0.102
5W,199,94,16.9,548,367,0.093
5W,49,97,17,398,367,0.067
5W,53,114,17,402,367,0.059
5W,87,101,17,436,367,0.148
5W,101,108,17,450,367,0.068
5W,116,92,17.1,465,367,0.055
5W,56,107,17.2,405,367,0.085
5W,145,100,17.2,494,367,0.175
5W,88,98,17.3,437,367,0.108
5W,69,103,17.5,418,367,0.122
5W,79,103,17.5,428,367,0.119
5W,100,114,17.9,449,367,0.051
5W,137,104,17.9,486,367,0.094
5W,204,109,17.9,553,367,0.095
5W,51,102,18.4,400,367,0.205
5W,205,108,18.5,554,367,0.094
5W,105,111,18.9,454,367,0.076
4W,54,57,9.4,688,370,2.362
4W,56,61,11,690,370,1.101
4W,20,69,11.1,654,370,0.958
4W,83,76,12.5,717,370,0.193
4W,72,82,13.2,706,370,0.291
4W,60,75,13.5,694,370,0.662
4W,21,77,13.6,655,370,0.333
4W,76,75,13.7,710,370,0.304
4W,65,85,13.8,699,370,0.528
4W,4,84,14,638,370,0.4
4W,10,80,14,644,370,0.075
4W,79,74,14.1,713,370,0.231
4W,63,81,14.3,697,370,0.216
4W,77,83,14.3,711,370,0.412
4W,82,81,14.5,716,370,0.462
4W,26,85,14.7,660,370,0.309
4W,78,84,14.8,712,370,0.265
4W,6,89,14.9,640,370,0.225
4W,84,82,14.9,718,370,0.153
4W,73,86,15,707,370,0.175
4W,32,91,15.3,666,370,0.204
4W,5,92,16,639,370,0.132
2W,342,39,7.5,3707,371,0.643
2W,46,44,8.5,3411,371,0.89
2W,339,47,8.6,3704,371,0.618
2W,377,51,9.2,3742,371,1.145
2W,325,53,9.5,3690,371,1.299
2E,31,51,9.6,3783,371,1.107
2W,376,50,9.7,3741,371,1.345
2W,361,57,10.1,3726,371,1.769
2W,286,55,10.2,3651,371,0.867
2W,331,58,10.3,3696,371,0.089
2W,18,57,10.4,3383,371,1.106
2W,372,54,10.4,3737,371,0.815
2W,362,60,10.5,3727,371,0.619
2W,293,66,10.7,3658,371,0.726
2W,383,55,10.7,3748,371,0.967
2W,21,65,10.9,3386,371,0.162
2W,316,58,11,3681,371,0.838
2E,58,56,11,3810,371,0.971
2E,676,59,11,4424,371,0.107
2W,319,59,11.1,3684,371,0.779
2E,119,55,11.1,3871,371,0.89
2W,333,62,11.2,3698,371,1.665
2E,376,67,11.2,4127,371,0.472
2W,55,60,11.4,3420,371,0.853
2W,347,63,11.4,3712,371,0.518
2W,151,68,11.5,3516,371,0.713
2W,288,66,11.5,3653,371,0.533
2W,289,68,11.5,3654,371,1.127
2W,137,62,11.6,3502,371,0.763
2E,179,66,11.6,3931,371,0.856
2W,102,72,11.7,3467,371,0.27
2W,152,66,11.7,3517,371,0.922
2W,166,64,11.7,3531,371,0.658
2E,409,63,11.7,4160,371,0.781
2W,177,68,11.8,3542,371,0.582
2W,190,64,11.8,3555,371,0.56
2W,183,67,11.9,3548,371,0.175
2W,211,67,11.9,3576,371,0.351
2W,266,83,11.9,3631,371,0.507
2E,41,58,11.9,3793,371,0.069
2W,153,67,12,3518,371,0.411
2W,227,64,12,3592,371,0.915
2W,230,68,12,3595,371,0.504
2W,384,66,12,3749,371,0.058
2E,9,69,12,3761,371,0.663
2W,253,68,12.1,3618,371,0.46
2W,196,72,12.2,3561,371,0.166
2W,258,73,12.2,3623,371,0.192
2W,348,61,12.2,3713,371,0.189
2W,209,71,12.3,3574,371,0.176
2E,30,70,12.3,3782,371,0.299
2E,633,69,12.3,4383,371,0.817
2W,9,67,12.4,3374,371,0.439
2W,54,67,12.4,3419,371,0.622
2W,59,74,12.4,3424,371,0.912
2E,313,64,12.4,4064,371,0.421
2E,167,62,12.5,3919,371,0.875
2E,402,67,12.5,4153,371,0.367
2W,1,70,12.6,3366,371,0.19
2W,14,70,12.6,3379,371,0.533
2W,64,66,12.6,3429,371,0.709
2W,280,74,12.6,3645,371,0.778
2E,338,66,12.6,4089,371,0.353
2E,684,64,12.6,4432,371,0.285
2W,171,71,12.7,3536,371,0.558
2W,337,68,12.7,3702,371,0.067
2E,135,63,12.7,3887,371,0.773
2E,392,71,12.7,4143,371,0.454
2E,616,71,12.7,4366,371,0.473
2E,655,67,12.7,4405,371,0.653
2W,302,63,12.8,3667,371,0.15
2E,50,72,12.8,3802,371,0.648
2E,100,75,12.8,3852,371,0.144
2E,194,70,12.8,3946,371,0.217
2E,229,67,12.8,3981,371,0.242
2E,360,71,12.8,4111,371,0.295
2E,367,75,12.8,4118,371,0.36
2W,6,74,12.9,3371,371,0.168
2W,10,80,12.9,3375,371,0.13
2W,114,72,12.9,3479,371,0.057
2W,241,74,12.9,3606,371,0.079
2E,505,75,12.9,4256,371,0.205
2W,52,74,13,3417,371,0.637
2W,124,76,13,3489,371,0.063
2W,247,76,13,3612,371,0.645
2W,304,75,13,3669,371,0.291
2E,368,75,13,4119,371,0.684
2E,432,73,13,4183,371,0.101
2E,458,73,13,4209,371,0.387
2E,681,74,13,4429,371,0.145
2W,27,73,13.1,3392,371,0.651
2W,57,78,13.1,3422,371,0.254
2W,61,72,13.1,3426,371,0.234
2W,107,74,13.1,3472,371,0.328
2W,208,73,13.1,3573,371,0.711
2E,195,70,13.1,3947,371,0.894
2W,40,86,13.2,3405,371,0.069
2W,51,76,13.2,3416,371,0.301
2W,231,78,13.2,3596,371,0.269
2W,256,72,13.2,3621,371,0.404
2W,329,77,13.2,3694,371,0.217
2E,87,68,13.2,3839,371,0.562
2E,332,75,13.2,4083,371,0.389
2W,65,73,13.3,3430,371,0.33
2W,97,71,13.3,3462,371,0.26
2W,100,78,13.3,3465,371,0.281
2W,133,83,13.3,3498,371,0.238
2W,385,72,13.3,3750,371,0.225
2E,191,73,13.3,3943,371,0.257
2W,199,75,13.4,3564,371,0.41
2W,262,79,13.4,3627,371,0.178
2W,328,83,13.4,3693,371,0.323
2W,374,77,13.4,3739,371,0.337
2E,482,81,13.4,4233,371,0.534
2W,68,83,13.5,3433,371,0.661
2W,157,72,13.5,3522,371,0.181
2W,219,74,13.5,3584,371,0.342
2W,235,67,13.5,3600,371,0.186
2E,19,85,13.5,3771,371,0.331
2E,419,74,13.5,4170,371,0.347
2E,512,79,13.5,4263,371,0.074
2W,29,74,13.6,3394,371,0.304
2W,90,80,13.6,3455,371,0.166
2E,26,64,13.6,3778,371,0.419
2E,142,73,13.6,3894,371,0.572
2E,164,74,13.6,3916,371,0.22
2E,273,78,13.6,4025,371,0.168
2W,91,70,13.7,3456,371,0.236
2W,290,84,13.7,3655,371,0.344
2E,21,74,13.7,3773,371,0.348
2E,60,72,13.7,3812,371,0.281
2E,503,72,13.7,4254,371,0.265
2W,20,69,13.8,3385,371,0.211
2W,148,79,13.8,3513,371,0.121
2W,259,78,13.8,3624,371,0.309
2E,5,74,13.8,3757,371,0.343
2E,25,74,13.8,3777,371,0.409
2E,185,77,13.8,3937,371,0.433
2E,189,79,13.8,3941,371,0.208
2E,374,75,13.8,4125,371,0.303
2E,389,78,13.8,4140,371,0.251
2W,56,80,13.9,3421,371,0.287
2W,110,82,13.9,3475,371,0.321
2W,261,83,13.9,3626,371,0.1
2E,6,82,13.9,3758,371,0.55
2E,27,76,13.9,3779,371,0.529
2E,77,77,13.9,3829,371,0.246
2E,138,84,13.9,3890,371,0.523
2E,165,79,13.9,3917,371,0.369
2E,239,72,13.9,3991,371,0.75
2E,257,71,13.9,4009,371,0.256
2E,345,74,13.9,4096,371,0.154
2E,387,87,13.9,4138,371,0.153
2E,439,70,13.9,4190,371,0.477
2E,494,80,13.9,4245,371,0.286
2W,8,80,14,3373,371,0.046
2W,69,80,14,3434,371,0.37
2W,70,83,14,3435,371,0.53
2W,250,82,14,3615,371,0.706
2W,387,80,14,3752,371,0.096
2E,210,70,14,3962,371,0.735
2E,271,75,14,4023,371,0.192
2E,455,80,14,4206,371,0.217
2W,158,81,14.1,3523,371,0.187
2W,172,83,14.1,3537,371,0.085
2E,2,77,14.1,3754,371,0.137
2E,34,85,14.1,3786,371,0.245
2E,395,72,14.1,4146,371,0.444
2E,408,79,14.1,4159,371,0.157
2W,126,73,14.2,3491,371,0.13
2W,191,75,14.2,3556,371,0.277
2E,46,80,14.2,3798,371,0.129
2E,299,75,14.2,4050,371,0.153
2E,425,76,14.2,4176,371,0.453
2E,464,77,14.2,4215,371,0.289
2E,568,71,14.2,4319,371,0.526
2W,62,84,14.3,3427,371,0.435
2W,92,75,14.3,3457,371,0.323
2W,186,79,14.3,3551,371,0.077
2E,281,80,14.3,4032,371,0.32
2E,487,82,14.3,4238,371,0.142
2W,94,78,14.4,3459,371,0.171
2E,84,81,14.4,3836,371,0.114
2E,564,78,14.4,4315,371,0.278
2E,611,77,14.4,4361,371,0.373
2W,41,81,14.5,3406,371,0.457
2W,242,87,14.5,3607,371,0.113
2E,10,81,14.5,3762,371,0.37
2E,410,88,14.5,4161,371,0.129
2E,20,75,14.6,3772,371,0.332
2W,173,87,14.7,3538,371,0.223
2E,22,78,14.7,3774,371,0.43
2E,39,81,14.7,3791,371,0.227
2W,4,88,14.8,3369,371,0.067
2E,286,80,14.8,4037,371,0.312
2W,35,77,14.9,3400,371,0.135
2W,75,86,14.9,3440,371,0.129
2W,228,84,14.9,3593,371,0.302
2W,255,78,14.9,3620,371,0.049
2E,7,78,14.9,3759,371,0.11
2E,17,78,14.9,3769,371,0.231
2E,116,83,14.9,3868,371,0.323
2E,353,81,14.9,4104,371,0.082
2E,518,86,14.9,4269,371,0.22
2E,559,89,14.9,4310,371,0.063
2W,33,85,15,3398,371,0.404
2W,236,84,15,3601,371,0.333
2E,471,79,15,4222,371,0.209
2E,606,84,15,4356,371,0.21
2W,243,80,15.1,3608,371,0.07
2E,156,83,15.1,3908,371,0.205
2E,383,88,15.1,4134,371,0.386
2E,660,76,15.1,4410,371,0.255
2E,126,83,15.2,3878,371,0.234
2W,239,84,15.3,3604,371,0.198
2E,201,102,15.4,3953,371,0.116
2E,259,81,15.4,4011,371,0.062
2E,398,84,15.4,4149,371,0.12
2E,622,83,15.4,4372,371,0.1
2W,292,84,15.5,3657,371,0.283
2E,12,85,15.5,3764,371,0.111
2E,492,84,15.6,4243,371,0.075
2W,299,79,15.7,3664,371,0.235
2E,98,87,15.7,3850,371,0.13
2E,500,99,15.8,4251,371,0.246
2E,99,84,15.9,3851,371,0.176
2E,182,80,15.9,3934,371,0.251
2W,84,87,16,3449,371,0.322
2E,4,89,16,3756,371,0.212
2E,133,85,16.1,3885,371,0.285
2E,467,78,16.2,4218,371,0.182
2W,42,91,16.3,3407,371,0.097
2W,271,84,16.4,3636,371,0.055
2E,521,86,16.5,4272,371,0.088
2W,108,81,16.7,3473,371,0.07
2E,24,94,17,3776,371,0.11
2E,288,83,17,4039,371,0.264
2E,514,102,17.4,4265,371,0.11
3E,1,36,6.7,2904,374,0.669
3E,6,52,9.2,2909,374,0.416
3E,241,50,9.6,3144,374,0.719
3E,346,53,9.7,3249,374,0.773
3E,125,62,9.8,3028,374,2.109
3E,3,51,9.9,2906,374,1.298
3E,8,56,10.3,2911,374,1.148
3E,271,60,10.6,3174,374,0.399
3E,313,60,10.7,3216,374,1.549
3E,226,54,10.8,3129,374,0.643
3E,294,64,10.8,3197,374,1.71
3E,151,68,11.2,3054,374,0.958
3E,160,62,11.2,3063,374,1.339
3E,256,63,11.4,3159,374,0.257
3E,13,64,11.5,2916,374,0.999
3E,302,65,11.5,3205,374,0.696
3E,347,70,11.5,3250,374,0.929
3E,152,66,11.8,3055,374,0.692
3E,12,67,11.9,2915,374,0.986
3E,437,63,11.9,3340,374,0.613
3E,273,63,12,3176,374,0.917
3E,196,73,12.1,3099,374,1.183
3E,257,70,12.1,3160,374,0.098
3E,264,70,12.1,3167,374,0.127
3E,272,69,12.1,3175,374,0.394
3E,344,79,12.2,3247,374,0.253
3E,431,72,12.2,3334,374,0.302
3E,11,71,12.3,2914,374,0.202
3E,166,67,12.3,3069,374,0.936
3E,394,71,12.3,3297,374,0.353
3E,165,76,12.4,3068,374,1.224
3E,278,73,12.4,3181,374,1.169
3E,107,72,12.5,3010,374,1.517
3E,174,68,12.5,3077,374,0.882
3E,366,75,12.5,3269,374,0.494
3E,65,84,12.6,2968,374,0.519
3E,198,78,12.6,3101,374,0.514
3E,43,80,12.8,2946,374,0.428
3E,55,81,12.8,2958,374,0.538
3E,298,83,12.8,3201,374,0.502
3E,362,78,12.9,3265,374,0.251
3E,391,77,12.9,3294,374,0.695
3E,46,70,13,2949,374,0.768
3E,436,77,13,3339,374,0.307
3E,188,71,13.1,3091,374,0.253
3E,301,77,13.2,3204,374,0.513
